# Ollama Monitoring Session
# Start Time:,2026-01-20 10:15:33
# Duration:,599.3 seconds
# Interval:,1.0 seconds
# GPU Available:,Yes
# Total GPU Memory:,4096 MB

Time (s),CPU (%),GPU (%),System RAM (%),Ollama RAM (MB),Ollama GPU VRAM (MB),Ollama GPU VRAM (%),CPU Power (W),GPU Power (W),Total Power (W)
421.27,14.1,68,72.8,966.1,0,0,9.16,15.15,24.31
422.37,16.8,65,72.7,966.1,0,0,10.92,15.14,26.06
423.48,21.0,57,72.7,966.1,0,0,13.65,15.19,28.84
424.58,24.0,65,72.7,966.14,0,0,15.6,15.3,30.9
425.7,16.7,65,72.7,966.14,0,0,10.85,15.23,26.09
426.81,25.9,64,72.7,966.1,0,0,16.84,15.14,31.98
427.91,24.5,70,72.8,966.1,0,0,15.92,15.25,31.18
429.02,17.7,63,72.5,966.14,0,0,11.5,15.07,26.58
430.14,25.3,65,72.5,966.1,0,0,16.45,15.5,31.94
431.24,14.8,66,72.5,966.1,0,0,9.62,15.46,25.08
432.34,56.5,65,72.5,966.1,0,0,36.72,15.22,51.95
433.45,100.0,66,72.3,966.1,0,0,65.0,15.33,80.33
434.57,2.7,67,72.3,966.14,0,0,1.76,15.09,16.84
435.67,17.1,71,72.1,966.14,0,0,11.12,15.38,26.5
436.78,15.1,69,72.1,966.1,0,0,9.81,15.29,25.1
437.88,22.2,66,72.1,966.1,0,0,14.43,15.14,29.57
438.98,14.8,64,72.1,966.1,0,0,9.62,15.33,24.95
440.09,17.2,74,72.1,966.15,0,0,11.18,15.48,26.66
441.2,16.7,69,72.2,966.1,0,0,10.85,15.89,26.75
442.32,16.2,75,72.2,966.12,0,0,10.53,15.67,26.2
443.43,18.5,75,72.2,966.1,0,0,12.03,15.6,27.62
444.53,2.4,76,72.2,966.1,0,0,1.56,15.9,17.46
445.63,13.1,74,72.2,966.1,0,0,8.52,15.43,23.95
446.74,10.1,64,72.2,966.14,0,0,6.56,15.98,22.54
447.84,19.0,69,72.8,966.1,0,0,12.35,15.92,28.27
448.94,19.0,74,72.8,966.1,0,0,12.35,15.42,27.77
450.05,15.7,73,72.8,966.1,0,0,10.21,15.46,25.66
451.15,20.0,73,72.7,966.1,0,0,13.0,15.4,28.4
452.25,12.0,75,72.7,966.1,0,0,7.8,15.67,23.47
453.35,34.2,78,72.7,966.1,0,0,22.23,15.82,38.05
454.47,16.9,70,72.1,966.1,0,0,10.98,15.69,26.67
455.57,19.8,71,72.1,966.1,0,0,12.87,15.44,28.31
456.67,15.0,73,72.2,966.1,0,0,9.75,15.72,25.47
457.78,11.1,71,72.2,966.14,0,0,7.21,15.6,22.81
458.89,13.4,71,72.2,966.11,0,0,8.71,15.71,24.42
460.0,18.8,65,72.2,966.15,0,0,12.22,15.76,27.98
461.11,21.1,72,72.2,966.11,0,0,13.72,15.89,29.61
462.21,17.1,68,72.2,966.11,0,0,11.12,15.73,26.85
463.32,75.0,73,72.2,966.11,0,0,48.75,15.63,64.39
464.42,21.5,66,72.2,966.11,0,0,13.97,15.49,29.47
465.52,1.4,0,72.2,966.11,0,0,0.91,11.44,12.35
466.63,2.6,0,72.2,966.11,0,0,1.69,9.56,11.25
467.73,9.5,0,72.2,966.11,0,0,6.17,8.39,14.57
468.84,9.9,100,72.3,966.14,0,0,6.44,14.42,20.86
469.94,23.5,100,72.2,966.14,0,0,15.27,14.93,30.2
471.04,17.7,93,72.2,966.14,0,0,11.5,14.9,26.41
472.15,8.1,100,71.6,966.14,0,0,5.27,14.98,20.24
473.25,16.2,100,71.7,966.14,0,0,10.53,14.95,25.48
474.35,11.6,93,71.7,966.15,0,0,7.54,14.94,22.48
475.46,14.5,100,71.8,966.15,0,0,9.42,14.97,24.39
476.56,100.0,100,71.8,966.15,0,0,65.0,14.97,79.97
477.67,9.8,100,71.8,966.15,0,0,6.37,14.97,21.34
478.77,33.3,100,71.8,966.15,0,0,21.64,14.94,36.59
479.87,15.3,92,71.7,966.14,0,0,9.95,14.91,24.86
480.98,11.7,100,71.6,966.14,0,0,7.6,15.03,22.63
482.08,27.3,65,71.6,966.14,0,0,17.75,15.48,33.22
483.18,22.5,51,71.6,966.19,0,0,14.62,15.41,30.03
484.28,15.2,64,71.6,966.19,0,0,9.88,15.35,25.23
485.39,20.9,64,71.6,966.19,0,0,13.58,15.06,28.65
486.5,100.0,64,71.6,966.14,0,0,65.0,15.2,80.2
487.6,9.2,56,71.6,966.14,0,0,5.98,15.05,21.03
488.71,18.8,74,71.6,966.14,0,0,12.22,15.32,27.54
489.82,19.4,65,71.6,966.18,0,0,12.61,15.16,27.77
490.92,17.8,72,71.6,966.14,0,0,11.57,15.35,26.92
492.02,15.4,72,71.6,966.14,0,0,10.01,15.74,25.75
493.13,100.0,65,71.6,966.14,0,0,65.0,15.31,80.31
494.23,100.0,72,71.6,966.14,0,0,65.0,16.03,81.03
495.33,12.9,72,71.6,966.14,0,0,8.38,15.93,24.32
496.43,13.6,74,71.6,966.14,0,0,8.84,15.91,24.75
497.54,15.8,73,71.7,966.14,0,0,10.27,15.83,26.1
498.66,68.4,70,71.7,966.14,0,0,44.46,15.2,59.66
499.76,17.6,69,71.8,966.14,0,0,11.44,15.46,26.9
500.86,20.7,74,71.8,966.14,0,0,13.46,15.64,29.1
501.97,12.0,73,71.8,966.19,0,0,7.8,15.78,23.58
503.08,15.6,73,71.8,966.14,0,0,10.14,15.76,25.9
504.18,25.3,77,71.8,966.14,0,0,16.45,15.72,32.17
505.3,59.4,73,71.7,966.14,0,0,38.61,15.47,54.08
506.4,100.0,72,71.7,966.16,0,0,65.0,15.8,80.8
507.51,25.3,72,71.6,966.14,0,0,16.45,16.19,32.64
508.61,12.5,72,72.4,966.19,0,0,8.12,15.68,23.81
509.72,12.7,66,72.3,966.14,0,0,8.26,15.73,23.99
510.82,12.2,68,72.4,966.15,0,0,7.93,15.77,23.7
511.92,31.5,68,72.5,966.14,0,0,20.48,14.67,35.14
513.02,19.8,57,72.5,966.14,0,0,12.87,14.59,27.46
514.13,9.9,77,71.9,966.14,0,0,6.44,15.97,22.4
515.24,15.5,77,71.9,966.14,0,0,10.07,15.98,26.06
516.34,14.8,86,71.9,966.14,0,0,9.62,15.99,25.61
517.46,31.0,69,72.0,966.14,0,0,20.15,16.04,36.19
518.57,11.6,72,72.2,966.19,0,0,7.54,15.87,23.41
519.68,32.5,67,72.5,966.18,0,0,21.12,15.9,37.03
520.78,32.4,66,72.7,966.14,0,0,21.06,15.75,36.81
521.89,31.0,81,72.8,966.14,0,0,20.15,16.01,36.16
522.99,14.3,72,72.9,966.14,0,0,9.3,15.94,25.24
524.09,21.1,70,72.9,966.19,0,0,13.72,15.73,29.44
525.2,18.3,72,72.9,966.14,0,0,11.89,15.7,27.6
526.31,16.2,74,72.9,965.8,0,0,10.53,15.81,26.34
527.42,23.1,72,72.9,965.26,0,0,15.02,16.0,31.01
528.52,20.8,72,72.8,965.26,0,0,13.52,15.43,28.95
529.62,63.6,72,72.8,965.26,0,0,41.34,15.71,57.05
530.73,28.8,73,72.8,965.26,0,0,18.72,15.71,34.43
531.84,7.7,78,72.8,965.3,0,0,5.0,15.78,20.78
532.95,17.6,65,72.8,965.26,0,0,11.44,15.61,27.05
534.05,14.9,71,72.7,965.26,0,0,9.68,15.71,25.4
535.15,14.6,78,72.6,965.26,0,0,9.49,15.84,25.33
536.25,16.0,71,72.6,965.26,0,0,10.4,16.03,26.43
537.36,20.3,79,72.5,965.26,0,0,13.2,15.63,28.83
538.46,17.7,84,72.5,965.29,0,0,11.5,15.72,27.22
539.56,18.7,74,72.5,965.29,0,0,12.15,15.7,27.85
540.67,100.0,69,72.4,965.29,0,0,65.0,15.64,80.64
541.77,17.2,66,72.4,965.33,0,0,11.18,15.53,26.71
542.88,12.3,82,72.4,965.29,0,0,8.0,15.61,23.61
543.98,19.7,74,72.4,965.29,0,0,12.8,15.8,28.6
545.09,19.0,71,72.4,965.29,0,0,12.35,15.75,28.1
546.19,6.8,66,72.4,965.32,0,0,4.42,15.68,20.1
547.3,12.0,78,72.4,965.29,0,0,7.8,16.07,23.87
548.4,13.5,76,72.1,965.29,0,0,8.78,15.73,24.51
549.5,64.3,55,72.1,965.29,0,0,41.8,15.86,57.65
550.61,13.9,67,72.1,965.29,0,0,9.04,15.81,24.85
551.71,21.8,67,72.0,965.29,0,0,14.17,15.6,29.77
552.81,20.3,60,72.1,965.29,0,0,13.2,15.97,29.16
553.91,18.4,68,72.1,965.29,0,0,11.96,15.75,27.71
555.02,16.2,63,72.1,965.29,0,0,10.53,15.34,25.87
556.12,19.7,65,72.0,965.29,0,0,12.8,15.67,28.47
557.22,100.0,69,71.8,965.29,0,0,65.0,15.87,80.87
558.33,13.6,71,71.8,965.34,0,0,8.84,15.79,24.63
559.44,16.0,71,71.8,965.29,0,0,10.4,15.67,26.07
560.54,30.4,74,71.8,965.29,0,0,19.76,15.79,35.55
561.65,5.6,80,71.7,965.33,0,0,3.64,15.59,19.23
562.77,16.9,71,71.8,965.3,0,0,10.98,15.68,26.67
563.88,28.9,78,71.7,965.29,0,0,18.79,15.83,34.61
564.98,17.9,68,71.7,965.29,0,0,11.63,15.88,27.52
566.08,21.3,68,71.7,965.29,0,0,13.84,15.7,29.54
567.18,26.7,70,72.0,965.29,0,0,17.36,15.67,33.02
568.29,25.4,66,72.4,965.29,0,0,16.51,15.83,32.34
569.39,18.4,57,72.3,965.29,0,0,11.96,15.44,27.4
570.49,13.0,65,72.5,965.29,0,0,8.45,15.96,24.41
571.59,30.0,64,72.7,965.29,0,0,19.5,15.67,35.17
572.7,24.7,70,72.7,965.29,0,0,16.05,15.85,31.9
573.8,100.0,49,72.3,965.29,0,0,65.0,15.46,80.46
574.9,20.3,77,72.3,965.29,0,0,13.2,16.05,29.24
576.01,18.6,68,72.3,965.33,0,0,12.09,16.03,28.12
577.16,13.2,69,72.1,965.33,0,0,8.58,15.5,24.08
578.26,25.0,74,72.2,965.29,0,0,16.25,15.58,31.83
579.36,38.2,77,72.2,965.29,0,0,24.83,15.65,40.48
580.47,17.3,70,72.1,965.29,0,0,11.25,15.64,26.88
581.58,20.7,78,72.1,965.29,0,0,13.46,15.48,28.94
582.71,14.9,69,72.4,965.34,0,0,9.68,15.84,25.52
583.81,15.9,67,72.2,965.29,0,0,10.34,15.85,26.19
584.92,11.0,68,72.2,965.29,0,0,7.15,15.7,22.85
586.02,51.4,75,72.0,965.29,0,0,33.41,15.71,49.12
587.12,35.2,76,71.6,965.34,0,0,22.88,15.59,38.47
588.23,15.6,69,71.5,965.29,0,0,10.14,15.66,25.8
589.33,22.1,72,71.5,965.29,0,0,14.37,15.82,30.19
590.43,16.7,72,71.5,965.29,0,0,10.85,15.88,26.73
591.55,17.7,71,71.5,965.29,0,0,11.5,15.36,26.87
592.67,14.0,69,71.5,965.29,0,0,9.1,15.56,24.66
593.78,14.5,71,71.5,965.34,0,0,9.42,15.77,25.19
594.89,6.7,75,71.6,965.34,0,0,4.36,15.57,19.93
596.0,17.1,63,71.6,965.29,0,0,11.12,15.41,26.53
597.1,2.8,0,71.6,965.29,0,0,1.82,13.02,14.84
598.21,0.0,0,71.6,965.29,0,0,0.0,9.83,9.83
599.31,0.0,0,71.6,965.29,0,0,0.0,8.49,8.49

# Summary Statistics
# Avg CPU Usage:,25.39%
# Avg GPU Usage:,64.32%
# Avg Total Power:,31.60 W
# Total Energy:,4.7669 Wh
# Peak Power:,81.03 W
# Peak GPU VRAM:,0.00 MB
